org_name,org_alt_name,ein_num,bio,city,state,assets,income
National Wildlife Federation,NWF,53-0204616,"['wildlife, habitat, conservation, environment, outdoors, <em>climate change,</em> environmental education, natural resources, waters, coasts, public lands, working lands, K-12, kids, environmental justice, Environment, Environmental justice, <em>Climate change,</em> Biodiversity, Wildlife biodiversity, Environmental education, Age groups, Children and youth, Adults, Non-governmental organizations, Public charities', "" four decades, the NWF's work with water quality policies such as the Clean Water Act has led to much progress in cleaning up rivers and streams. Unfortunately, today we’re seeing pollution and <em>climate change</em> have devastating effects on our waters. The NWF remains steadfast in improving water quality and aquatic ecosystems, from small streams to vast iconic areas like the Great Lakes. For more information""]",Reston,VA,152113420,116288408
Climate Changemakers,,87-0863486,"['PRACTICES IN CIVIC ENGAGEMENT AND EDUCATES THEM ABOUT EFFECTIVE ADVOCACY ON IMPORTANT SOLUTIONS TO <em>CLIMATE CHANGE.</em>', '<em>CLIMATE</em> CHANGEMAKERS is a modern <em>climate</em> advocacy program driving policy and cultivating <em>climate</em> leaders through meaningful, sustained civic engagement. Offering a community-based, nonpartisan approach and powerful resources like Action Playbooks, Issue Briefings, and ""Hour of Action"" co-working sessions, it equips volunteers to advance equitable, science-based U.S. policies at every level of government']",Raleigh,NC,117743,206626
CLIMATE CHANGE TRUTH Inc.,CCTRUTH,82-2592453,"['Rain forest and tell the truth in science by following the data. https://cctruth.org/cctruth.pdf plant trees. I had a booth at the Oregon State fair. I played a video of the 13th presentation at a <em>climate change</em> conference playing on a 45” screen. https://cctruth.org/keynote_address_07_30_21.mp4These are well documented scientific facts more than 2000 PhD’s agree with. Atmospheric carbon dioxide is not', ' <em>climate change,</em> follow the data, Environment, Biodiversity, Forest preservation, Age groups, Adults, Non-governmental organizations, Public charities']",Portland,OR,1,29000
Climate Change for All Educators Inc,SubjectToClimate,86-1536473,"['teachers to develop lesson plans on <em>climate</em> issues that resonate with the specific region. New Jersey is the first state to integrate <em>climate change</em> into all subjects and grade levels. In 2022, StC joined the New Jersey <em>Climate Change</em> Education Initiative (NJCCEI) to launch the state’s go-to hub for <em>climate change</em> education resources: the New Jersey <em>Climate Change</em> Education Hub (see press release). ', 'SubjectToClimate (StC) is a nonprofit online connector for K-12 educators of all subjects to find credible and engaging materials on <em>climate change</em> at no cost. Our mission is to make <em>climate change</em> teaching and learning accessible to all. Education']",New Canaan,CT,48085,819255
"Natural Resources Defense Council, Inc.",NRDC,13-2654926,"[' environment, public health, global warming, <em>climate change,</em> conservation, Environment, Natural resources, Non-governmental organizations, Public charities', ' <em>Climate change</em> is the single biggest environmental and humanitarian crisis of our time. The world must unite to combat this crisis, and our best weapon is']",New York City,NY,576913705,555076417
Climate Changers Inc,,81-0699420,"['<em>Climate Changers</em> provides human services which improve the quality of life for the residents of the Erie region and surrounding areas. Addressing the social determinates of health associated with incarceration, substance abuse, gang']",Erie,PA,103025,72532
DAVID AND LUCILE PACKARD FOUNDATION,,94-2278431,"[' family foundation, conservation, population, children, reproductive health, family planning, delayed marriage, maternal deaths, poverty, science, fisheries, ecosystems, marine birds, <em>climate change,</em> agriculture, biofuels, health care, preschool, after-school, youth development, literacy, summer enrichment, organizational effectiveness, program-related investment, Philanthropy, Foundations,']",Los Altos,CA,8263286693,74027457
The Climate Change Now Initiative,CLIMATE CHANGE NOW,90-1006128,['<em>climate</em> science education and outreach'],Austin,TX,13825,5452
Climate Change Resources,,84-4936019,"[""IT IS OUR MISSION, AND OUR HOPE, THAT <em>CLIMATE CHANGE</em> RESOURCES WILL ENABLE A MORE EDUCATED AND EMPOWERED ARMY OF <em>CLIMATE CHANGE</em> ACTIVISTS TO TAKE ALL OF THE CRITICAL STEPS NECESSARY TO RESCUE HUMANITY'S FUTURE. THERE IS SIMPLY NO TIME TO WASTE.""]",New York City,NY,22561,101876
Climate Change Outreach,,47-1241495,[],Waltham,MA,0,0
Climate Change Plan B Inc,,88-2168298,[],Oceanside,CA,0,0
Climate Change Law Foundation,,46-2323075,[],Sacramento,CA,0,0
Climate Change Ai,,87-3190059,[],Pittsburgh,PA,0,0
Climate Change Action Brookline Inc,,45-2923541,[],Brookline,MA,0,0
Climate Change New Mexico,,82-0807466,[],Albuquerque,NM,0,0
Climate Change Leadership Institute,,27-0114585,"['leader in <em>climate change</em> stewardship.', 'Courage Awards) and direct action (to sponsor and support efforts that creatively and effectively press the powers that be to make meaningful, <em>climate</em> restorative <em>changes</em> in our society). Visit us on our website at www.takeresponsibity.us to learn more.']",Santa Fe,NM,176614,134510
Climate Change Recovery Inc,,87-3438341,[],Beaverton,OR,0,0
Climate Change Narrative Org,,87-2921969,[],Breckenridge,CO,0,0
Climate Change Reversal Advocates,,92-3789385,[],Andover,MN,0,0
Climate Change Permaculture Project,CCPP,86-2813416,[],Clare,MI,588,1
