org_name,org_alt_name,ein_num,org_highlight,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link
"American Heart Association, Inc.",AHA,13-5613797,"['fighting <em>heart disease</em> and stroke, powered by over 32 million volunteers and supporters. The AHA is a leading funder and curator of <em>heart</em> and brain research; fights for public health policies; provides lifesaving tools and information; and creates science-based treatment guidelines to help ensure quality health care.', ' health equity, <em>heart,</em> cardiovascular, american <em>heart,</em> stroke, cardiovascular <em>disease,</em> AHA']",Dallas,TX,1790168039,1191113566,"The American Heart Association’s mission is to be a relentless force for a world of longer, healthier lives. The organization’s goal is: Every person deserves the opportunity for a full, healthy life. As champions for health equity, by 2024, the American Heart Association will advance cardiovascular health for all, including identifying and removing barriers to health care access and quality. The Association is the nation's oldest, largest voluntary organization dedicated to fighting heart disease and stroke, powered by over 32 million volunteers and supporters. The AHA is a leading funder and curator of heart and brain research; fights for public health policies; provides lifesaving tools and information; and creates science-based treatment guidelines to help ensure quality health care.",https://facebook.com/AmericanHeart,https://twitter.com/American_Heart,https://youtube.com/americanheart,https://instagram.com/american_heart,https://linkedin.com/company/157306
The Children's Heart Foundation,,36-4077528,"["" Birth defects, <em>heart disease,</em> congenital <em>heart</em> defects, medical research, children's health, pediatric research, Philanthropy, Health, Medical specialties, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Genetic conditions"", ""The Children's <em>Heart</em> Foundation's mission is to advance the diagnosis, treatment, and prevention of congenital <em>heart</em> defects by funding the most promising research. Birth""]",Northbrook,IL,3615825,4789680,"The Children's Heart Foundation's mission is to advance the diagnosis, treatment, and prevention of congenital heart defects by funding the most promising research.",https://facebook.com/TheCHF,https://twitter.com/TheCHF,https://youtube.com/CHFnational,https://instagram.com/thechf,https://linkedin.com/company/thechf
Heart Disease Research Institute,Heart Disease Aid and Research Fund,51-0555174,"['Provides research grants to <em>heart disease</em> research programs. Ships containers of  medical equipment, and medical supplies to hospitals and clinics that treat <em>heart disease</em> and other chronic <em>diseases.</em> Provides educational materials about <em>heart disease</em> to patients and families. Curing begins with a caring <em>heart</em>!', 'extreme poverty, suffering with <em>heart disease</em> and other related <em>diseases</em> were helped with their medical conditions as a result of the supplies that were sent. HDRI has made a difference in thousands of lives by providing much needed shipments of medical supplies, equipment and humanitarian aid. Oasis of Hope Hospital has been treating <em>heart disease</em> and other chronic <em>diseases</em> for over 50 years. They practice']",Glendale,AZ,47999,136116,"Provides research grants to heart disease research programs. Ships containers of  medical equipment, and medical supplies to hospitals and clinics that treat heart disease and other chronic diseases. Provides educational materials about heart disease to patients and families. Curing begins with a caring heart!",,,,,
The Heart Foundation,,45-0471117,"[' <em>heart,</em> <em>heart disease,</em> medical research, <em>heart</em> attack, sudden cardiac death, circulatory <em>diseases,</em> coronary artery <em>disease,</em> cardiac research, <em>heart disease</em> awareness, <em>heart</em> research, <em>heart</em> health, Philanthropy, Foundations, Health, Medical specialties, Cardiology, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Age groups, Adults, Health, People with <em>diseases</em> and illnesses, Non-governmental', ""<em>Heart disease</em> is the #1 cause of death for both women and men in the United States, but it is also one of the most preventable.  The <em>Heart</em> Foundation's mission is to save lives from <em>heart disease</em> by increasing awareness, educating the public, and funding innovative cardiac research at Smidt <em>Heart</em> Institute at Cedars-Sinai in Los Angeles, CA, for improved methods of prevention, detection, and treatment""]",Westlake Village,CA,8464144,2268312,"Heart disease is the #1 cause of death for both women and men in the United States, but it is also one of the most preventable.  The Heart Foundation's mission is to save lives from heart disease by increasing awareness, educating the public, and funding innovative cardiac research at Smidt Heart Institute at Cedars-Sinai in Los Angeles, CA, for improved methods of prevention, detection, and treatment.",https://facebook.com/TheHeartFoundation,https://twitter.com/TheHeartFdn,https://youtube.com/HeartFoundationUSA,https://instagram.com/theheartfoundation,https://linkedin.com/company/company/the-heart-foundation
National Kidney Foundation Inc.,,13-1673104,"['respond to CKD. In effect, CKDintercept will bring about a ""culture change,” where recognition of kidney <em>disease</em> will be as common as recognition of diabetes and <em>heart disease.</em> This initiative is about maximizing the opportunity presented in primary care to identify people with ""hidden” kidney <em>disease</em> and to stop or slow progression. CKDintercept also incorporates a ""feedback loop” from patients and other', 'The National Kidney Foundation is revolutionizing the fight to save lives by eliminating preventable kidney <em>disease,</em> accelerating innovation for the dignity of the patient experience, and dismantling structural inequities in kidney care, dialysis and transplantation.The NKF is ranked in the top 1% of socially responsible brands and&nbsp;meets the standards of the Wise Giving Alliance of the Better Business']",New York City,NY,59928791,51557261,"The National Kidney Foundation is revolutionizing the fight to save lives by eliminating preventable kidney disease, accelerating innovation for the dignity of the patient experience, and dismantling structural inequities in kidney care, dialysis and transplantation.

The NKF is ranked in the top 1% of socially responsible brands and meets the standards of the Wise Giving Alliance of the Better Business Bureau where 80% of every dollar raised goes directly to programs and services.  Also, the NKF has a 3-star rating by Charity Navigator.",https://facebook.com/National Kidney Foundation,https://twitter.com/@nkf,https://youtube.com/National Kidney Foundation,https://instagram.com/@nationalkidneyfoundation,https://linkedin.com/company/National Kidney Foundation
"American Association of Kidney Patients, Inc.",AAKP,11-2306416,"[""of their home or office. HealthLine addresses many issues patients with kidney <em>disease</em> face such as diet/nutrition, mention/social/emotional health, medication management, renal replacement treatment options, and co-morbid conditions kidney patients cope with such as hyperparathyroidism, bone <em>disease,</em> anemia, <em>heart disease,</em> and many more. AAKP's National Patient Meeting is the largest kidney patient "", '– AAKP is dedicated to improving the lives and long-term outcomes of kidney patients through education, advocacy, patient engagement and the fostering of patient communities. AAKP fights for early <em>disease</em> detection and the appropriate diagnosis of rare/genetic conditions; increased kidney transplantation and pre-emptive transplantation; full patient choice of either in-center or home dialysis; protection']",Tampa,FL,3117129,2696486,"As the oldest and largest, independent kidney patient organization in the U.S. – AAKP is dedicated to improving the lives and long-term outcomes of kidney patients through education, advocacy, patient engagement and the fostering of patient communities. AAKP fights for early disease detection and the appropriate diagnosis of rare/genetic conditions; increased kidney transplantation and pre-emptive transplantation; full patient choice of either in-center or home dialysis; protection of the patient/physician relationship; promotion of research and innovation including artificial implantable and wearable kidneys; and the elimination of barriers for patient access to available treatment options.",https://facebook.com/kidneypatient,https://twitter.com/KidneyPatients,https://youtube.com/channel/UCwT_eU7vwGtHSapN8PKc-Hw,https://instagram.com/kidneypatients,https://linkedin.com/company/american-association-of-kidney-patients
Adult Congenital Heart Association Inc,ACHA,04-3447959,"[' Adult Congenital <em>Heart</em> Association, ACHA, adult congenital <em>heart</em> defect, adult congenital <em>heart disease,</em> <em>heart disease,</em> support, education, patients, patient advocacy, congenital <em>heart</em> defect, congenital <em>heart disease,</em> patient education', ' education, healthcare, cardiac, advocacy, <em>heart,</em> Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Age groups, Adults, Non-governmental organizations, Public charities']",Media,PA,1503657,2049229,The mission of the Adult Congenital Heart Association is to empower the congenital heart disease community by advancing access to resources and specialized care that improve patient-centered outcomes.,https://facebook.com/AdultCongenitalHeartAssociation,https://twitter.com/acha_heart,,https://instagram.com/acha_heart,https://linkedin.com/company/achaheart
THE WAY TO MY HEART INC,Global PAD Association,84-3065768,"['Vascular <em>Disease,</em> Peripheral Artery <em>Disease,</em> <em>Heart Disease,</em> Education, Health, Out-patient medical care, Health care clinics, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Ethnic and racial groups, Social and economic status, Economically disadvantaged people, Non-governmental organizations, Public charities', ' In partnership with Vascular Specialists &amp; industry, The Way To My <em>Heart</em> has developed']",San Rafael,CA,0,0,"Our mission is to democratize healthcare by educating, engaging, & empowering patients to take responsibility for their healthcare so they live a better quality of life.  We offer awareness, advocacy, and support programs that help save life & limb.",,,,,
Black Heart Association,SECONDS IN RED,82-1011939,"['  Advocacy, Black women, <em>heart disease,</em> stroke, Black men, <em>heart</em> health, Health, Health care access, Health care administration and financing, Patient-centered care, Medical specialties, Cardiology, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Age groups, Children and youth, ', 'To eliminate <em>heart</em> health disparities in the Black community through advocacy, education, and empowerment.  Advocacy']",Grand Prairie,TX,90088,342833,"To eliminate heart health disparities in the Black community through advocacy, education, and empowerment.",https://facebook.com/blackheartassociatio,,https://youtube.com/@blackheartassociation3595,https://instagram.com/blackheartassociation/,https://linkedin.com/company/company/black-heart-association/
Accept The Challenge,,86-0795610,"[' PREVENTION of obesity and its secondary <em>diseases</em> (diabetes, hypertension, <em>heart disease,</em> asthma)., Education, Elementary and secondary education, Elementary education, Health, Public health, Physical fitness, Obesity, Community and economic development, Community improvement', 'based non-profit to improve health to prevent childhood obesity and its secondary <em>diseases</em> for underprivileged children and their families. Our   signature program, Operation Tone-Up®   is nationally recognized as a proven and evidence-based program to prevent the development of childhood obesity and its secondary <em>diseases.</em>                                                             (We have served over']",Phoenix,AZ,8454,501517,"The Accept The Challenge Mission is to respond to our nation’s number #1 health risk, “childhood obesity,” by empowering youth, with accurate nutrition and exercise knowledge, and teaching them how to apply this knowledge to socially change the way they choose food and exercise to improve their health and change their lives. Our Goal is to ensure that all children can be exposed to accurate nutrition and exercise knowledge to improve their health.",https://facebook.com/acceptthechallenge,https://twitter.com/teamtoneup,https://youtube.com/operationtoneup,https://instagram.com/teamtoneup,https://linkedin.com/company/Accept The Challenge
