org_name,org_alt_name,ein_num,bio,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link
"The Arthritis Foundation, Inc.",,58-1341679,"[' arthritis, research, patient advocacy, <em>public,</em> policy, <em>health,</em> advocacy, children, lupus, osteoporosis, <em>Health,</em> Diseases and conditions, Musculoskeletal diseases, Arthritis, Age groups, Adults, <em>Health,</em> People with disabilities, Non-governmental organizations, <em>Public</em> charities', ' We are the EXPERT in driving BETTER <em>HEALTH</em> OUTCOMES for people with arthritis, and for the arthritis community']",Atlanta,GA,200280337,74384560,"We exist to conquer arthritis. We are boldly pursuing a cure for America’s #1 cause of disability while championing the fight to conquer arthritis with life-changing science, resources, advocacy, and community connections.",https://facebook.com/Arthritis.org,https://twitter.com/ArthritisFdn,https://youtube.com/user/ArthritisFdn,https://instagram.com/arthritisfoundation,https://linkedin.com/company/linkedin.com/company/arthritis-foundation/mycompany/
PUBLIC HEALTH INSTITUTE,PHI,94-1646278,"["" The <em>Public Health</em> Institute advances wellbeing and <em>health</em> equity with communities around the world.&nbsp;PHI's approximately 800+ projects&nbsp;touch on virtually every area of <em>public health,</em> which enhances collaboration and magnifies reach. This work is organized into eleven focus areas:&nbsp;-Alcohol, Tobacco, Other Drugs and Mental <em>Health</em>-Capacity Building-Chronic Disease"", 'The <em>Public Health</em> Institute advances wellbeing and <em>health</em> equity withcommunities around the world. public']",Oakland,CA,147605072,256663773,"The Public Health Institute advances wellbeing and health equity with
communities around the world.",https://facebook.com/PublicHealthInstitute,https://twitter.com/PHIdotorg,https://youtube.com/UCUiJKRsYtMS_sNQJqcbEVpQ?,,https://linkedin.com/company/https://www.linkedin.com/company/public-health-institute/
Public Health Solutions,,13-5669201,"['millions of dollars in <em>public health</em> funding through “master contracts” -- e.g. federal Ryan White CARE Act funds (which provide services to people living with HIV/AIDS) since 1991, as well as HIV prevention services contracts since 2000, on behalf of the NYC Dept. of <em>Health</em> and Mental Hygiene (DOHMH). CAMS also manages funding &amp; subcontracts for a range of other <em>public health</em> initiatives, including', '<em>Health</em> disparities among New Yorkers are large, persistent and increasing. <em>Public Health</em> Solutions (PHS) exists to change that trajectory, and support vulnerable New York City families in achieving optimal <em>health</em> and building pathways to reach their potential. Public']",New York City,NY,151458052,321306733,"Health disparities among New Yorkers are large, persistent and increasing. Public Health Solutions (PHS) exists to change that trajectory, and support vulnerable New York City families in achieving optimal health and building pathways to reach their potential.",https://facebook.com/wearephsny,https://twitter.com/wearephsny,,https://instagram.com/wearephsny,https://linkedin.com/company/company/wearephsny
Children's Defense Fund,CDF,52-0895622,"[' Children, advocacy, <em>public</em> policy, child <em>health,</em> poverty alleviation, Human rights, Human services, Youth development, Youth services, Youth organizing, Age groups, Children and youth, Non-governmental organizations, <em>Public</em> charities']",Washington,DC,58320035,26611785,"The Children's Defense Fund Leave No Child Behind® mission is to ensure every child a Healthy Start, a Head Start, a Fair Start, a Safe Start and a Moral Start in life and successful passage to adulthood with the help of caring families and communities.",https://facebook.com/childrensdefensefund,https://twitter.com/ChildDefender,https://youtube.com/user/childrensdefense,https://instagram.com/childdefender1973,https://linkedin.com/company/company/children's-defense-fund
Public Health Management Corporation,,23-7221025,"[' <em>PUBLIC HEALTH</em> MANAGEMENT CORPORATION (PHMC) IS A NONPROFIT <em>PUBLIC HEALTH</em> INSTITUTE THAT CREATES AND SUSTAINS HEALTHIER COMMUNITIES. PHMC USES BEST PRACTICES TO IMPROVE COMMUNITY <em>HEALTH</em> THROUGH DIRECT SERVICE, PARTNERSHIP, INNOVATION, POLICY, RESEARCH, TECHNICAL ASSISTANCE AND A PREPARED WORKFORCE', '<em>Health,</em> In-patient medical care, Community <em>health</em> care, Non-governmental organizations, <em>Public</em> charities PUBLIC']",Philadelphia,PA,223549097,292841851,"PUBLIC HEALTH MANAGEMENT CORPORATION (PHMC) IS A NONPROFIT PUBLIC HEALTH INSTITUTE THAT CREATES AND SUSTAINS HEALTHIER COMMUNITIES. PHMC USES BEST PRACTICES TO IMPROVE COMMUNITY HEALTH THROUGH DIRECT SERVICE, PARTNERSHIP, INNOVATION, POLICY, RESEARCH, TECHNICAL ASSISTANCE AND A PREPARED WORKFORCE. WITH OVER 3,500 EMPLOYEES AND PROGRAMS OFFERED AT NEARLY 70 LOCATIONS OPERATING THROUGHOUT PENNSYLVANIA, DELAWARE AND NEW JERSEY, PHMC SERVES OVER 150,000 UNDUPLICATED PEOPLE EACH YEAR. GRANTS FROM AND CONTRACTS WITH GOVERNMENTAL AGENCIES, TRUSTS AND FOUNDATIONS PRIMARILY FUND THESE ACTIVITIES.",,,,,
American Public Health Association Inc,,13-1628688,"['others who care about their own <em>health</em> and the <em>health</em> of their communities.APHA builds a collective voice for <em>public health,</em> working to ensure access to <em>health</em> care, protect funding for core <em>public health</em> services and eliminate <em>health</em> disparities, among a myriad of other issues. Through its two flagship publications, the peer-reviewed&nbsp;American Journal of <em>Public Health</em>(/publications/journal/)  and the', ' <em>public health,</em> <em>health</em> care, community <em>health,</em> <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities, Associations, Individual membership associations, Organizational membership associations, Affinity groups The']",Washington,DC,41220765,28452854,Improve the health of the public and achieve equity in health status,,,,,
Public Health Connected,,85-3605687,"['Our mission is to strengthen the community of <em>public health</em> professionals by providing them with resources that promote resilience and offering platforms and opportunities to connect with each other, so that they are empowered to face the challenges of working in <em>public health.</em>', ' <em>Health,</em> <em>Public health,</em> Sexual identity, LGBTQ people, Ethnic and racial groups, Work status and occupations, Self-employed']",Foster City,CA,0,0,"Our mission is to strengthen the community of public health professionals by providing them with resources that promote resilience and offering platforms and opportunities to connect with each other, so that they are empowered to face the challenges of working in public health.",,,,,
Public Health Fund,,23-1985544,"[""DELIVERY, RESEARCH AND EDUCATION IN THE GREATER DELAWARE VALLEY SINCE 1996. <em>PUBLIC HEALTH</em> FUND'S MISSION IS TO IMPROVE THE <em>HEALTH</em> OF THE DELAWARE VALLEY COMMUNITY THROUGH INNOVATIVE AND EFFECTIVE <em>PUBLIC HEALTH</em> INITIATIVES. THE DELAWARE VALLEY INCLUDES THE EIGHT COUNTY GREATER PHILADELPHIA AREA INCLUDING PHILADELPHIA, BUCKS, CHESTER, DELAWARE AND MONTGOMERY COUNTIES IN PENNSYLVANIA AND BURLINGTON, CAMDEN "", ' IMPROVE THE <em>HEALTH</em> OF THE DELAWARE VALLEY COMMUNITY THROUGH INNOVATIVE &amp; EFFECTIVE <em>PUBLIC HEALTH</em> INITIATIVES. Health']",Philadelphia,PA,14576561,15563101,TO IMPROVE THE HEALTH OF THE DELAWARE VALLEY COMMUNITY THROUGH INNOVATIVE & EFFECTIVE PUBLIC HEALTH INITIATIVES.,,,,,
Public Health Fund Inc,,43-1930096,"['ENTITIES WHOSE MISSIONS ALIGN WITH PHF MISSION AND BYLAWS, WHICH WOULD INCLUDE EFFECTING CHANGES THAT RESULT IN AN IMPROVED <em>PUBLIC HEALTH</em> OUTCOMES. <em>PUBLIC HEALTH</em> FUND CONSTRUCTED A BUILDING USED TO PROVIDE <em>PUBLIC HEALTH</em> SERVICES. THE ENTIRE BUILDING IS RENTED TO THE LINCOLN COUNTY <em>HEALTH</em> DEPARTMENT, WHICH IS RELATED THROUGH A SHARED BOARD OF DIRECTORS. TO PROVIDE A COMMUNITY GARDEN WITH PLOTS AVAILABLE FOR', 'TO SECURE AND ALLOCATE FUNDS TO PROMOTE <em>PUBLIC HEALTH</em> THROUGH <em>HEALTH</em> RELATED SERVICES, INJURY PREVENTION AND EDUCATION. Public']",Troy,MO,2911133,357677,"TO SECURE AND ALLOCATE FUNDS TO PROMOTE PUBLIC HEALTH THROUGH HEALTH RELATED SERVICES, INJURY PREVENTION AND EDUCATION.",,,,,
Public Health Council of the Upper Valley,,75-2991608,"['To improve the <em>health</em> of Upper Valley residents through shared <em>public health</em> initiatives and services within a network of community stakeholders.', ' Community <em>Health</em> Improvement; <em>Health</em> Equity, <em>Health,</em> <em>Public health,</em> Community and economic development, Community improvement, Community organizing, Business and industry, Social enterprise, Age groups, Children and youth, Adults, Family relationships, Families']",Lebanon,NH,226303,523914,To improve the health of Upper Valley residents through shared public health initiatives and services within a network of community stakeholders.,https://facebook.com/https://www.facebook.com/uvpublichealth/,https://twitter.com/uvpublichealth,,https://instagram.com/UVPublicHealth,
